004  00194 |Loss: 1.121 | Acc: 34.511% 
004  00195 |Loss: 1.125 | Acc: 34.115% 
004  00196 |Loss: 1.127 | Acc: 34.500% 
004  00197 |Loss: 1.127 | Acc: 34.375% 
004  00198 |Loss: 1.128 | Acc: 34.491% 
004  00199 |Loss: 1.129 | Acc: 33.705% 
004  00200 |Loss: 1.127 | Acc: 33.836% 
004  00201 |Loss: 1.127 | Acc: 34.375% 
004  00202 |Loss: 1.127 | Acc: 34.476% 
004  00203 |Loss: 1.124 | Acc: 34.570% 
004  00204 |Loss: 1.124 | Acc: 34.470% 
004  00205 |Loss: 1.126 | Acc: 33.824% 
004  00206 |Loss: 1.124 | Acc: 34.107% 
004  00207 |Loss: 1.123 | Acc: 34.201% 
004  00208 |Loss: 1.124 | Acc: 33.446% 
004  00209 |Loss: 1.123 | Acc: 34.046% 
004  00210 |Loss: 1.121 | Acc: 34.455% 
004  00211 |Loss: 1.123 | Acc: 34.062% 
004  00212 |Loss: 1.122 | Acc: 34.146% 
004  00213 |Loss: 1.122 | Acc: 33.929% 
004  00214 |Loss: 1.123 | Acc: 33.866% 
004  00215 |Loss: 1.120 | Acc: 34.375% 
004  00216 |Loss: 1.118 | Acc: 34.722% 
004  00217 |Loss: 1.118 | Acc: 34.783% 
004  00218 |Loss: 1.116 | Acc: 34.973% 
004  00219 |Loss: 1.115 | Acc: 35.286% 
004  00220 |Loss: 1.116 | Acc: 34.949% 
004  00221 |Loss: 1.117 | Acc: 34.625% 
004  00222 |Loss: 1.117 | Acc: 34.436% 
004  00223 |Loss: 1.117 | Acc: 34.255% 
004  00224 |Loss: 1.117 | Acc: 33.962% 
004  00225 |Loss: 1.116 | Acc: 33.912% 
004  00226 |Loss: 1.115 | Acc: 34.545% 
004  00227 |Loss: 1.115 | Acc: 34.821% 
004  00228 |Loss: 1.114 | Acc: 34.778% 
005  00229 |Loss: 1.077 | Acc: 25.000% 
005  00230 |Loss: 1.040 | Acc: 31.250% 
005  00231 |Loss: 1.064 | Acc: 31.250% 
005  00232 |Loss: 1.092 | Acc: 29.688% 
005  00233 |Loss: 1.118 | Acc: 33.750% 
005  00234 |Loss: 1.129 | Acc: 33.333% 
005  00235 |Loss: 1.126 | Acc: 33.929% 
005  00236 |Loss: 1.123 | Acc: 35.156% 
005  00237 |Loss: 1.120 | Acc: 33.333% 
005  00238 |Loss: 1.118 | Acc: 35.000% 
005  00239 |Loss: 1.114 | Acc: 36.364% 
005  00240 |Loss: 1.115 | Acc: 35.417% 
005  00241 |Loss: 1.116 | Acc: 34.615% 
005  00242 |Loss: 1.112 | Acc: 35.268% 
005  00243 |Loss: 1.113 | Acc: 34.167% 
005  00244 |Loss: 1.112 | Acc: 33.984% 
005  00245 |Loss: 1.111 | Acc: 34.191% 
005  00246 |Loss: 1.112 | Acc: 35.069% 
005  00247 |Loss: 1.117 | Acc: 33.882% 
005  00248 |Loss: 1.116 | Acc: 33.750% 
005  00249 |Loss: 1.115 | Acc: 33.036% 
005  00250 |Loss: 1.113 | Acc: 33.239% 
005  00251 |Loss: 1.111 | Acc: 34.239% 
005  00252 |Loss: 1.110 | Acc: 34.635% 
005  00253 |Loss: 1.109 | Acc: 34.500% 
005  00254 |Loss: 1.108 | Acc: 35.096% 
005  00255 |Loss: 1.106 | Acc: 35.648% 
005  00256 |Loss: 1.107 | Acc: 35.268% 
005  00257 |Loss: 1.105 | Acc: 35.560% 
005  00258 |Loss: 1.104 | Acc: 35.833% 
005  00259 |Loss: 1.106 | Acc: 36.089% 
005  00260 |Loss: 1.106 | Acc: 36.133% 
005  00261 |Loss: 1.104 | Acc: 37.311% 
005  00262 |Loss: 1.102 | Acc: 38.419% 
005  00263 |Loss: 1.102 | Acc: 38.214% 
005  00264 |Loss: 1.101 | Acc: 38.194% 
005  00265 |Loss: 1.101 | Acc: 38.007% 
005  00266 |Loss: 1.101 | Acc: 37.829% 
005  00267 |Loss: 1.100 | Acc: 37.660% 
005  00268 |Loss: 1.100 | Acc: 37.188% 
005  00269 |Loss: 1.099 | Acc: 38.110% 
005  00270 |Loss: 1.101 | Acc: 37.351% 
005  00271 |Loss: 1.101 | Acc: 37.355% 
005  00272 |Loss: 1.101 | Acc: 37.358% 
005  00273 |Loss: 1.101 | Acc: 36.944% 
005  00274 |Loss: 1.100 | Acc: 36.957% 
005  00275 |Loss: 1.100 | Acc: 36.835% 
005  00276 |Loss: 1.099 | Acc: 36.849% 
005  00277 |Loss: 1.096 | Acc: 37.372% 
005  00278 |Loss: 1.094 | Acc: 37.625% 
005  00279 |Loss: 1.094 | Acc: 37.623% 
005  00280 |Loss: 1.094 | Acc: 37.620% 
005  00281 |Loss: 1.098 | Acc: 37.264% 
005  00282 |Loss: 1.099 | Acc: 37.269% 
005  00283 |Loss: 1.099 | Acc: 37.273% 
005  00284 |Loss: 1.098 | Acc: 37.277% 
005  00285 |Loss: 1.098 | Acc: 37.222% 
006  00286 |Loss: 1.045 | Acc: 43.750% 
006  00287 |Loss: 1.055 | Acc: 46.875% 
006  00288 |Loss: 1.049 | Acc: 45.833% 
006  00289 |Loss: 1.062 | Acc: 42.188% 
006  00290 |Loss: 1.084 | Acc: 40.000% 
006  00291 |Loss: 1.056 | Acc: 43.750% 
006  00292 |Loss: 1.041 | Acc: 46.429% 
006  00293 |Loss: 1.075 | Acc: 42.969% 
006  00294 |Loss: 1.102 | Acc: 41.667% 
006  00295 |Loss: 1.101 | Acc: 41.875% 
006  00296 |Loss: 1.103 | Acc: 40.341% 
006  00297 |Loss: 1.106 | Acc: 38.542% 
006  00298 |Loss: 1.100 | Acc: 38.462% 
006  00299 |Loss: 1.097 | Acc: 40.179% 
006  00300 |Loss: 1.096 | Acc: 39.167% 
006  00301 |Loss: 1.094 | Acc: 38.672% 
006  00302 |Loss: 1.092 | Acc: 38.971% 
006  00303 |Loss: 1.088 | Acc: 39.931% 
006  00304 |Loss: 1.088 | Acc: 38.816% 
006  00305 |Loss: 1.087 | Acc: 37.812% 
006  00306 |Loss: 1.086 | Acc: 38.095% 
006  00307 |Loss: 1.084 | Acc: 38.636% 
006  00308 |Loss: 1.082 | Acc: 39.674% 
006  00309 |Loss: 1.080 | Acc: 40.365% 
006  00310 |Loss: 1.077 | Acc: 41.250% 
006  00311 |Loss: 1.076 | Acc: 41.827% 
006  00312 |Loss: 1.074 | Acc: 41.898% 
006  00313 |Loss: 1.074 | Acc: 41.741% 
006  00314 |Loss: 1.074 | Acc: 41.379% 
006  00315 |Loss: 1.074 | Acc: 41.042% 
006  00316 |Loss: 1.076 | Acc: 40.323% 
006  00317 |Loss: 1.076 | Acc: 40.625% 
006  00318 |Loss: 1.077 | Acc: 41.098% 
006  00319 |Loss: 1.075 | Acc: 41.544% 
006  00320 |Loss: 1.076 | Acc: 41.429% 
006  00321 |Loss: 1.075 | Acc: 41.493% 
006  00322 |Loss: 1.073 | Acc: 42.399% 
006  00323 |Loss: 1.072 | Acc: 42.763% 
006  00324 |Loss: 1.072 | Acc: 42.788% 
006  00325 |Loss: 1.071 | Acc: 42.969% 
006  00326 |Loss: 1.071 | Acc: 42.835% 
006  00327 |Loss: 1.069 | Acc: 43.452% 
006  00328 |Loss: 1.068 | Acc: 43.459% 
006  00329 |Loss: 1.069 | Acc: 43.040% 
006  00330 |Loss: 1.067 | Acc: 43.056% 
006  00331 |Loss: 1.066 | Acc: 43.071% 
006  00332 |Loss: 1.065 | Acc: 43.351% 
006  00333 |Loss: 1.064 | Acc: 43.880% 
006  00334 |Loss: 1.064 | Acc: 44.005% 
006  00335 |Loss: 1.065 | Acc: 43.500% 
006  00336 |Loss: 1.064 | Acc: 43.382% 
006  00337 |Loss: 1.063 | Acc: 43.269% 
006  00338 |Loss: 1.063 | Acc: 43.160% 
006  00339 |Loss: 1.062 | Acc: 42.940% 
006  00340 |Loss: 1.062 | Acc: 42.841% 
006  00341 |Loss: 1.061 | Acc: 43.415% 
006  00342 |Loss: 1.061 | Acc: 43.444% 
007  00343 |Loss: 0.991 | Acc: 56.250% 
007  00344 |Loss: 0.955 | Acc: 62.500% 
007  00345 |Loss: 0.954 | Acc: 56.250% 
007  00346 |Loss: 0.979 | Acc: 51.562% 
